"index","sequence_label","source","generator","chisqr_p","chisqr_X2.X-squared","chisqr_df.df","ks_p","ks_D.D","freq_p","freq_X2.X-squared","freq_df.df","eqdist_empiricalMean","eqdist_diff","gap_p","gap_X2.X-squared","gap_df.df","serial_autocorrelation","perm_observed_stat","perm_p","entropy_val","fft_dominant_frequency","fft_dominant_period","fft_max_magnitude"
91,"randoms-72","PRNG","Mersenne Twister (MT19937)",0.189624979789513,12.44,9,1.11478073853892e-06,0.12,0.189624979789513,12.44,9,0.487111111111111,0.0128888888888889,1.51051406142867e-103,612.481632653061,40,-0.00364056403584506,5.384,1,3.30399044710735,0.24,4.16666666666667,141.335642591729
92,"randoms-73","PRNG","Mersenne Twister (MT19937)",0.674543245420627,6.64,9,5.84015013148832e-06,0.112888888888889,0.674543245420627,6.64,9,0.525333333333333,0.0253333333333333,5.99195633221606e-120,698.730612244898,42,0.0349445083820475,5.728,1,3.31232296263127,0.132,7.57575757575758,155.699250499185
93,"randoms-74","PRNG","Mersenne Twister (MT19937)",0.579021033486107,7.56,9,1.71956722454751e-05,0.108,0.579021033486107,7.56,9,0.494666666666667,0.00533333333333336,1.15503247947499e-134,779.6,45,0.0139659370665597,5.452,1,3.31027254613784,0.276,3.6231884057971,171.80043276471
94,"randoms-75","PRNG","Mersenne Twister (MT19937)",0.973055194856034,2.76,9,1.71956722454752e-05,0.108,0.973055194856034,2.76,9,0.512666666666667,0.0126666666666666,3.90765392806983e-114,670.297959183673,42,-0.036417662102158,5.614,1,3.31800219463342,0.182,5.49450549450549,165.512563327587
95,"randoms-76","PRNG","Mersenne Twister (MT19937)",0.779187716164836,5.6,9,1.71956722454751e-05,0.108,0.779187716164836,5.6,9,0.487111111111111,0.0128888888888889,9.387826869778e-111,647.791836734694,40,-0.0489499307365018,5.384,1,3.31310659789298,0.408,2.45098039215686,169.593827585617
96,"randoms-77","PRNG","Mersenne Twister (MT19937)",0.971699157102865,2.8,9,7.13247100230033e-06,0.112,0.971699157102865,2.8,9,0.497777777777778,0.00222222222222224,3.61301640369009e-116,677.257142857143,41,-0.0163241736338133,5.48,0.778,3.31792230747584,0.454,2.20264317180617,144.639213331148
97,"randoms-78","PRNG","Mersenne Twister (MT19937)",0.316052101277882,10.44,9,9.07998595249615e-05,0.1,0.316052101277882,10.44,9,0.492444444444444,0.00755555555555554,2.97686706583161e-105,620.848979591837,40,-0.0475854548057832,5.432,0.996,3.30729121886834,0.396,2.52525252525253,197.373391005519
98,"randoms-79","PRNG","Mersenne Twister (MT19937)",0.858001733289412,4.72,9,2.8652561090907e-06,0.116,0.858001733289412,4.72,9,0.497555555555556,0.00244444444444447,8.00770062391383e-107,628.54693877551,40,-0.0109793334422052,5.478,1,3.31512368600718,0.062,16.1290322580645,168.654000558832
99,"randoms-8","QRNG","IBM Qiskit (Single-Qubit)",5.52853105210831e-07,46.2,9,1.11190264833003e-05,0.11,5.52853105210831e-07,46.2,9,0.4804,0.0196,3.6117107206662e-137,788.734693877551,44,-0.0493172339213742,4.804,1,3.26354711787284,0.1,10,176.295885415553
100,"randoms-80","PRNG","Mersenne Twister (MT19937)",0.616305224983365,7.2,9,6.06219924238887e-05,0.102,0.616305224983365,7.2,9,0.491111111111111,0.00888888888888889,2.12961492383562e-136,788.048979591837,45,0.0132436416346637,5.42,1,3.31162113258186,0.124,8.06451612903226,157.718324330996
101,"randoms-81","PRNG","Linear Congruential Generator (LCG)",0.125199576061496,13.92,9,0.000388651256973348,0.0924444444444444,0.125199576061496,13.92,9,0.479555555555556,0.0204444444444444,2.117256061408e-173,890.734693877551,23,-0.0502546375582785,5.316,1,3.30207237206087,0.5,2,150
102,"randoms-82","PRNG","Linear Congruential Generator (LCG)",0.275708936772222,11,9,0.00019887127149966,0.096,0.275708936772222,11,9,0.504,0.004,7.89181137849391e-158,813.489795918367,22,-0.0500874387279814,5.536,1,3.30600349137511,0.5,2,328
103,"randoms-83","PRNG","Linear Congruential Generator (LCG)",0.632954695279192,7.04,9,5.8401501314882e-06,0.112888888888889,0.632954695279192,7.04,9,0.502666666666667,0.00266666666666671,5.30050688919435e-197,1009.61632653061,25,0.0362823996456761,5.524,1,3.31173096092765,0.5,2,210
104,"randoms-84","PRNG","Linear Congruential Generator (LCG)",0.973055194856034,2.76,9,7.59511095045254e-05,0.100888888888889,0.973055194856034,2.76,9,0.494666666666667,0.00533333333333336,1.02012796968078e-163,841.277551020408,22,-0.0169280257903299,5.452,1,3.31796849167128,0.5,2,202
105,"randoms-85","PRNG","Linear Congruential Generator (LCG)",0.735908337245972,6.04,9,2.32948075973841e-06,0.116888888888889,0.735908337245972,6.04,9,0.495111111111111,0.00488888888888889,1.2823654679725e-123,644.342857142857,20,-0.0812556763290847,5.456,0.915,3.31327442650146,0.5,2,244
106,"randoms-86","PRNG","Linear Congruential Generator (LCG)",0.928856585228348,3.72,9,5.05283356920103e-05,0.102888888888889,0.928856585228348,3.72,9,0.492444444444444,0.00755555555555559,4.33015898522724e-138,716.497959183673,21,0.0217291282251112,5.432,0.992,3.31660724969057,0.5,2,208
107,"randoms-87","PRNG","Linear Congruential Generator (LCG)",0.191686740846966,12.4,9,6.87054086399067e-07,0.122,0.191686740846966,12.4,9,0.497777777777778,0.00222222222222224,9.60264681267355e-159,817.808163265306,22,-0.0193462744673495,5.48,0.77,3.30261783714176,0.5,2,336
108,"randoms-88","PRNG","Linear Congruential Generator (LCG)",0.257003594285071,11.28,9,0.000901193023179661,0.0877777777777778,0.257003594285071,11.28,9,0.492444444444444,0.00755555555555559,9.69408545755662e-188,962.142857142857,24,-0.0602363400459071,5.432,0.993,3.3056516446933,0.5,2,264
109,"randoms-89","PRNG","Linear Congruential Generator (LCG)",0.334538151634006,10.2,9,3.70321347102869e-06,0.114888888888889,0.334538151634006,10.2,9,0.517333333333333,0.0173333333333333,4.17459469233608e-168,865.755102040816,23,0.0176152432121408,5.656,1,3.30717014850145,0.5,2,176
110,"randoms-9","QRNG","IBM Qiskit (Single-Qubit)",0.00695642390729613,22.68,9,0.00455808440072581,0.078,0.00695642390729613,22.68,9,0.503,0.003,2.05228989181182e-116,678.457142857143,41,0.025642903879893,5.03,1,3.28993488416306,0.054,18.5185185185185,158.54489269976
111,"randoms-90","PRNG","Linear Congruential Generator (LCG)",0.94007992739137,3.52,9,3.70321347102863e-06,0.114888888888889,0.94007992739137,3.52,9,0.484444444444444,0.0155555555555555,1.07695055760838e-150,779.787755102041,22,-0.0665320675996921,5.36,1,3.31693577619551,0.5,2,232
112,"randoms-91","PRNG","Linear Congruential Generator (LCG)",0.666245200424164,6.72,9,2.8652561090907e-06,0.116,0.666245200424164,6.72,9,0.487111111111111,0.0128888888888889,7.63411885342589e-166,855.077551020408,23,-0.0534854110849291,5.384,1,3.31247612861032,0.5,2,280
113,"randoms-92","PRNG","Linear Congruential Generator (LCG)",0.89203626317185,4.28,9,1.71956722454752e-05,0.108,0.89203626317185,4.28,9,0.492888888888889,0.00711111111111112,2.13191707322698e-156,806.730612244898,22,-0.0436617524668363,5.436,1,3.31559038008688,0.5,2,282
114,"randoms-93","PRNG","Linear Congruential Generator (LCG)",0.467321742982128,8.68,9,1.71956722454751e-05,0.108,0.467321742982128,8.68,9,0.489777777777778,0.0102222222222222,8.29793595696973e-149,770.869387755102,22,-0.0655929857473953,5.408,0.999,3.30910438551263,0.5,2,364
115,"randoms-94","PRNG","Linear Congruential Generator (LCG)",0.798139062395361,5.4,9,9.07998595249615e-05,0.1,0.798139062395361,5.4,9,0.518222222222222,0.0182222222222223,2.22365337850311e-167,862.326530612245,23,-0.109056785771613,5.664,1,3.31415638474007,0.5,2,200
116,"randoms-95","PRNG","Linear Congruential Generator (LCG)",0.628790456174789,7.08,9,0.000421853348617755,0.092,0.628790456174789,7.08,9,0.484,0.016,3.55067563890803e-160,824.567346938776,22,-0.0731475416887197,5.356,1,3.31125476249525,0.5,2,202
117,"randoms-96","PRNG","Linear Congruential Generator (LCG)",0.948298489052846,3.36,9,9.07998595249615e-05,0.1,0.948298489052846,3.36,9,0.504444444444444,0.00444444444444447,1.56296169706496e-126,658.142857142857,20,0.00251424683919856,5.54,1,3.31716134906607,0.5,2,246
118,"randoms-97","PRNG","Linear Congruential Generator (LCG)",0.262248754594965,11.2,9,2.03491227134574e-07,0.126888888888889,0.262248754594965,11.2,9,0.520888888888889,0.0208888888888888,9.82806640268372e-151,779.975510204082,22,-0.0296395663478424,5.688,1,3.30559866201692,0.5,2,260
119,"randoms-98","PRNG","Linear Congruential Generator (LCG)",0.662090729039073,6.76,9,2.03491227134574e-07,0.126888888888889,0.662090729039073,6.76,9,0.525777777777778,0.0257777777777778,3.26105424718036e-145,750.171428571428,21,-0.00845336806052274,5.732,1,3.31218975398354,0.5,2,318
120,"randoms-99","PRNG","Linear Congruential Generator (LCG)",0.931184892832221,3.68,9,0.00019887127149966,0.096,0.931184892832221,3.68,9,0.493777777777778,0.00622222222222224,8.18126313860814e-154,794.526530612245,22,-0.0216209689415758,5.444,1,3.3166077860322,0.5,2,270
