"index","sequence_label","source","generator","chisqr_p","chisqr_X2.X-squared","chisqr_df.df","ks_p","ks_D.D","freq_p","freq_X2.X-squared","freq_df.df","eqdist_empiricalMean","eqdist_diff","gap_p","gap_X2.X-squared","gap_df.df","serial_autocorrelation","perm_observed_stat","perm_p","entropy_val","fft_dominant_frequency","fft_dominant_period","fft_max_magnitude"
22,"randoms-118","PRNG","XORShift",0.967382306440808,2.92,9,7.13247100230033e-06,0.112,0.967382306440808,2.92,9,0.492444444444444,0.00755555555555559,1.2425736948579e-74,458.257142857143,36,-0.0129303645970854,5.432,0.991,3.31776408083025,0.352,2.84090909090909,144.870895036498
23,"randoms-119","PRNG","XORShift",0.723804162809856,6.16,9,4.53877766275709e-06,0.114,0.723804162809856,6.16,9,0.520666666666667,0.0206666666666666,1.61856711461218e-110,652.571428571428,42,-0.0320719979831712,5.686,1,3.31310760145054,0.464,2.1551724137931,156.206066222048
24,"randoms-12","QRNG","IBM Qiskit (Single-Qubit)",9.52448503974166e-09,55.56,9,4.53877766275709e-06,0.114,9.52448503974166e-09,55.56,9,0.4978,0.00219999999999998,1.04626141013399e-104,618.171428571429,40,0.011026647627985,4.978,1,3.24477431101225,0.5,2,163
25,"randoms-120","PRNG","XORShift",0.47114644132994,8.64,9,0.000421853348617758,0.092,0.47114644132994,8.64,9,0.496,0.004,6.58765378998897e-109,644.673469387755,42,-0.0519555539309383,5.464,0.905,3.30970249465895,0.294,3.40136054421769,135.888840622181
26,"randoms-13","QRNG","IBM Qiskit (Single-Qubit)",0.000240966117337187,31.52,9,0.000134916725306088,0.098,0.000240966117337187,31.52,9,0.511,0.011,6.87242488129234e-130,753.285714285714,44,0.131719078090065,5.11,1,3.28149259208746,0.126,7.93650793650794,174.081693757688
27,"randoms-14","QRNG","IBM Qiskit (Single-Qubit)",0.0114635569151167,21.28,9,2.54783207655732e-07,0.126,0.0114635569151167,21.28,9,0.5512,0.0512,1.32305109999084e-146,840.771428571429,46,0.0429073370168866,5.512,1,3.29176246673945,0.182,5.49450549450549,188.817015307431
28,"randoms-15","QRNG","IBM Qiskit (Single-Qubit)",3.72774153289645e-07,47.12,9,1.71956722454752e-05,0.108,3.72774153289645e-07,47.12,9,0.518,0.018,9.32635351272423e-110,645.885714285714,41,-0.0784633874478657,5.18,1,3.25953888148537,0.16,6.25,164.934211825698
29,"randoms-16","QRNG","IBM Qiskit (Single-Qubit)",2.02728490519238e-10,64.24,9,6.06219924238887e-05,0.102,2.02728490519238e-10,64.24,9,0.4926,0.00740000000000002,1.1584387771059e-151,865.326530612245,46,0.0248376751321073,4.926,1,3.24506870293717,0.454,2.20264317180617,161.454914729478
30,"randoms-17","QRNG","IBM Qiskit (Single-Qubit)",5.91712113857081e-10,61.84,9,6.06219924238892e-05,0.102,5.91712113857081e-10,61.84,9,0.4906,0.00940000000000002,1.75083389375309e-130,753.134693877551,43,-0.0438813655477265,4.906,1,3.24727280072824,0.12,8.33333333333333,152.684860367236
31,"randoms-18","QRNG","IBM Qiskit (Single-Qubit)",2.06388116652236e-10,64.2,9,1.11190264833003e-05,0.11,2.06388116652236e-10,64.2,9,0.5036,0.00360000000000005,1.21217612873693e-142,812.220408163265,43,-0.01404462716142,5.036,1,3.24365328194497,0.138,7.2463768115942,160.114764240177
32,"randoms-19","QRNG","IBM Qiskit (Single-Qubit)",0.00157974396658658,26.68,9,0.0062021898401792,0.076,0.00157974396658658,26.68,9,0.4988,0.00119999999999998,7.05908825587801e-142,814.710204081633,45,0.0408152288689961,4.988,0.676,3.28516445608801,0.086,11.6279069767442,173.103648368084
33,"randoms-2","QRNG","IBM Qiskit (Single-Qubit)",8.29822807094323e-10,61.08,9,0.000134916725306087,0.098,8.29822807094323e-10,61.08,9,0.4952,0.00479999999999997,4.32342817034723e-146,835.175510204082,45,0.017528604579593,4.952,1,3.24729544078937,0.182,5.49450549450549,153.500962454854
34,"randoms-20","QRNG","IBM Qiskit (Single-Qubit)",2.2875825585738e-13,79.24,9,9.15067753889159e-08,0.13,2.2875825585738e-13,79.24,9,0.461,0.039,4.35888522038972e-135,772.444897959184,42,-0.025961337414284,4.61,1,3.22780967847868,0.294,3.40136054421769,171.448432214378
35,"randoms-21","QRNG","IBM Qiskit (Single-Qubit)",2.97530689400953e-09,58.2,9,2.63813610118885e-05,0.106,2.97530689400953e-09,58.2,9,0.4724,0.0276,8.14933423584167e-146,836.934693877551,46,-0.0436489275760023,4.724,1,3.25050234822855,0.334,2.9940119760479,220.599602353496
36,"randoms-22","QRNG","IBM Qiskit (Single-Qubit)",4.02151853854398e-06,41.52,9,0.000866669529359261,0.088,4.02151853854398e-06,41.52,9,0.4894,0.0106,4.03045303249482e-124,719.089795918367,42,-0.0321012815197708,4.894,1,3.26888584288131,0.168,5.95238095238095,181.196225881767
37,"randoms-23","QRNG","IBM Qiskit (Single-Qubit)",2.78351787300597e-07,47.8,9,4.01514172449902e-05,0.104,2.78351787300597e-07,47.8,9,0.5024,0.00239999999999996,3.60593750104503e-114,667.485714285714,41,0.00433908038747047,5.024,1,3.26109180278004,0.332,3.01204819277108,177.11766943554
38,"randoms-24","QRNG","IBM Qiskit (Single-Qubit)",8.35746186209454e-13,76.4,9,2.8652561090907e-06,0.116,8.35746186209454e-13,76.4,9,0.4896,0.0104,7.26434720881331e-144,818.14693877551,43,-0.0535306727187738,4.896,1,3.22622258613536,0.22,4.54545454545455,166.89372612597
39,"randoms-25","QRNG","IBM Qiskit (Single-Qubit)",9.05848726916202e-08,50.4,9,1.11190264833003e-05,0.11,9.05848726916202e-08,50.4,9,0.5196,0.0196,4.95465187846358e-110,641.265306122449,39,-0.0519123080058692,5.196,1,3.2579042498225,0.464,2.1551724137931,164.70571190009
40,"randoms-26","QRNG","IBM Qiskit (Single-Qubit)",0.016260898310324,20.28,9,0.000134916725306088,0.098,0.016260898310324,20.28,9,0.5186,0.0185999999999999,4.1336419277399e-125,729.959183673469,44,-0.0479657781658192,5.186,1,3.29489125781425,0.098,10.2040816326531,159.197073745699
41,"randoms-27","QRNG","IBM Qiskit (Single-Qubit)",1.88782786598094e-08,54,9,0.000134916725306087,0.098,1.88782786598094e-08,54,9,0.4778,0.0222,2.36343769960532e-144,823.632653061225,44,0.0258211939456257,4.778,1,3.25797006237918,0.486,2.05761316872428,184.16821616397
42,"randoms-28","QRNG","IBM Qiskit (Single-Qubit)",4.16205882346169e-09,57.44,9,0.000421853348617758,0.092,4.16205882346169e-09,57.44,9,0.4944,0.00559999999999999,3.55354464859995e-130,748.575510204082,42,-0.00512238769401918,4.944,1,3.24666008964538,0.296,3.37837837837838,170.307564509255
43,"randoms-29","QRNG","IBM Qiskit (Single-Qubit)",1.17593659376732e-08,55.08,9,0.000134916725306087,0.098,1.17593659376732e-08,55.08,9,0.5004,0.000399999999999956,6.19176263151749e-158,898.865306122449,47,-0.021451460222461,5.004,1,3.25521914219321,0.334,2.9940119760479,175.377167293338
44,"randoms-3","QRNG","IBM Qiskit (Single-Qubit)",1.99621131541814e-11,69.4,9,4.20066493879215e-07,0.124,1.99621131541814e-11,69.4,9,0.4622,0.0378,8.64744399097749e-148,846.526530612245,46,-0.0798718801473693,4.622,1,3.23359300797368,0.232,4.31034482758621,165.118625438271
45,"randoms-30","QRNG","IBM Qiskit (Single-Qubit)",2.55788102248205e-10,63.72,9,0.000134916725306087,0.098,2.55788102248205e-10,63.72,9,0.4946,0.00540000000000002,4.51032645020997e-145,827.122448979592,44,0.023428717549868,4.946,1,3.24384374287184,0.006,166.666666666667,160.848472484267
46,"randoms-31","QRNG","IBM Qiskit (Single-Qubit)",3.31155766333412e-05,36.44,9,0.00019887127149966,0.096,3.31155766333412e-05,36.44,9,0.518,0.018,4.49625925688316e-134,773.673469387755,44,-0.0158394767682453,5.18,1,3.27357095414495,0.138,7.2463768115942,192.765865892439
47,"randoms-32","QRNG","IBM Qiskit (Single-Qubit)",5.91390039455886e-06,40.6,9,0.000607078276140755,0.09,5.91390039455886e-06,40.6,9,0.4924,0.0076,2.28948950853118e-131,754.367346938775,42,0.00359351959713136,4.924,0.996,3.27074076146836,0.392,2.55102040816327,139.654741376356
48,"randoms-33","QRNG","IBM Qiskit (Single-Qubit)",1.72783729744278e-11,69.72,9,1.11190264833e-05,0.11,1.72783729744278e-11,69.72,9,0.5128,0.0128,2.07277850923278e-119,696.097959183673,42,0.0195433242153959,5.128,1,3.23000329960496,0.284,3.52112676056338,175.605990617525
49,"randoms-34","QRNG","IBM Qiskit (Single-Qubit)",2.38560863388547e-06,42.76,9,0.000866669529359266,0.088,2.38560863388547e-06,42.76,9,0.4938,0.00619999999999998,7.86204096821707e-139,796.816326530612,44,0.0147405957128995,4.938,1,3.26725873978784,0.482,2.0746887966805,152.857044032695
50,"randoms-35","QRNG","IBM Qiskit (Single-Qubit)",3.02210526461518e-11,68.48,9,4.20066493879215e-07,0.124,3.02210526461518e-11,68.48,9,0.504,0.004,3.88497190914805e-112,657.542857142857,41,0.00808259149999122,5.04,1,3.23752868306316,0.164,6.09756097560976,173.484129120686
51,"randoms-36","QRNG","IBM Qiskit (Single-Qubit)",4.90425736996456e-07,46.48,9,0.000607078276140755,0.09,4.90425736996456e-07,46.48,9,0.4868,0.0132,1.42279932638535e-116,682.232653061224,42,0.0941149379615006,4.868,1,3.26363888841583,0.166,6.02409638554217,191.846977080002
52,"randoms-37","QRNG","IBM Qiskit (Single-Qubit)",0.000300745440545046,30.96,9,6.06219924238892e-05,0.102,0.000300745440545046,30.96,9,0.5018,0.00180000000000002,9.66200160694859e-131,754.391836734694,43,-0.00987258254337972,5.018,1,3.2822355621178,0.486,2.05761316872428,172.525461384021
53,"randoms-38","QRNG","IBM Qiskit (Single-Qubit)",7.26707142455152e-07,45.56,9,2.8652561090907e-06,0.116,7.26707142455152e-07,45.56,9,0.508,0.00800000000000001,5.8043319964915e-131,755.469387755102,43,0.0370512663824165,5.08,1,3.26304094164399,0.378,2.64550264550265,167.661108496159
